Asset_Category,Asset_Class,Asset_Subclass,Asset_Type,Asset_Subtype
ICT Hardware,Lighting and Electrical,CCTV,Camera,Pelco S6230-EG1
ICT Hardware,Lighting and Electrical,CCTV,Camera,Pelco S6230-EGL1
ICT Hardware,Lighting and Electrical,CCTV,Camera,Pelco S7230L-EW1
ICT Hardware,Lighting and Electrical,CCTV,Camera,PelcoIXP21
ICT Hardware,Lighting and Electrical,CCTV,Camera,Unidentified
ICT Hardware,Lighting and Electrical,CCTV,Electrical Conduit,Comms - White
ICT Hardware,Lighting and Electrical,CCTV,Equipment Enclosure,Cabinet
ICT Hardware,Lighting and Electrical,CCTV,Equipment Enclosure,Internal
ICT Hardware,Lighting and Electrical,CCTV,Equipment Enclosure,Metal Enclosure
ICT Hardware,Lighting and Electrical,CCTV,Equipment Enclosure,Plastic Enclosure
ICT Hardware,Lighting and Electrical,CCTV,Equipment Enclosure,Pod
ICT Hardware,Lighting and Electrical,CCTV,Equipment Enclosure,TBD
ICT Hardware,Lighting and Electrical,CCTV,Equipment Enclosure,Traffic controller
ICT Hardware,Lighting and Electrical,On Street Electric Vehicle Charging Station,On Street Electric Vehicle Charging Station,On Street Electric Vehicle Charging Station - Free Stand
ICT Hardware,Lighting and Electrical,On Street Electric Vehicle Charging Station,On Street Electric Vehicle Charging Station,On Street Electric Vehicle Charging Station - Wall Mounted
ICT Hardware,Lighting and Electrical,Smart Technology,Defibrillator,Metered
ICT Hardware,Lighting and Electrical,Smart Technology,Defibrillator,Unmetered
ICT Hardware,Lighting and Electrical,Smart Technology,Smart Parking,Sensor
ICT Hardware,Lighting and Electrical,Smart Technology,Smart Parking,SmartSpot
ICT Hardware,Transportation,Traffic Signals,People Movement Sensor,Metered
Instrumentation,Park Lands and Open Space,Irrigation System,Irrigation,Controller
Instrumentation,Transportation,Traffic Signals,Traffic Signal Controllers,Traffic Signal Controller
Instrumentation,Transportation,Traffic Signals,Traffic Signal Controllers,Traffic Signal Controller MSB Pod
Instrumentation,Transportation,Traffic Signals,Traffic Signal Controllers,Traffic Signal Controller with Top Box RU07
Instrumentation,Transportation,Traffic Signals,Traffic Signal Controllers,Traffic Signal Controller with Top Box RU11
Instrumentation,Transportation,Traffic Signals,Uninterruptible Power Supply,ECUPS (8 Batteries)
Instrumentation,Transportation,Traffic Signals,Uninterruptible Power Supply,ICUPS (2 Batteries)
Irrigation,Park Lands and Open Space,Irrigation System,Irrigation,Drip in Line
Irrigation,Park Lands and Open Space,Irrigation System,Irrigation,Irrigation
Irrigation,Park Lands and Open Space,Irrigation System,Irrigation,Irrigation Parkland Space
Irrigation Regulators,Park Lands and Open Space,Irrigation System,Irrigation,Controller
Irrigation Regulators,Park Lands and Open Space,Irrigation System,Irrigation,Irrigation
Kerbs,Transportation,Kerb and Water Table,Kerb and Water Table,Flush Kerb
Kerbs,Transportation,Kerb and Water Table,Kerb and Water Table,Kerb
Kerbs,Transportation,Kerb and Water Table,Kerb and Water Table,Kerb and Water Table
Kerbs,Transportation,Kerb and Water Table,Kerb and Water Table,Mountable Kerb
Kerbs,Transportation,Kerb and Water Table,Kerb and Water Table,Mountable Kerb and Water Table
Kerbs,Transportation,Kerb and Water Table,Kerb and Water Table,Spoon Drain
Kerbs,Transportation,Kerb and Water Table,Traffic Control Device,Median Island
Kerbs,Transportation,Kerb and Water Table,Traffic Control Device,Pedestrian Refuge
Kerbs,Transportation,Kerb and Water Table,Traffic Control Device,Roundabout
Kerbs,Transportation,Kerb and Water Table,Traffic Control Device,Splitter
Kerbs,Transportation,Kerb and Water Table,Tree Surround,Tree Surround
Land,Land,Crown Land,Land,Crown Land
Land,Land,Land,Land,Land
Land,Park Lands and Open Space,Open Space Area,Land,Crown Land
Lighting,,,,
Lighting,Lighting and Electrical,CCTV,CCTV Pole,CCTV Pole - Adepole 5m
Lighting,Lighting and Electrical,CCTV,CCTV Pole,CCTV Pole - Stepped Post Top 3.5m
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Electrical Cabling,Catenary Electrical Cabling - Gouger Street (16m per Light)
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Electrical Cabling,Catenary Electrical Cabling - Rundle Mall (6m per Light)
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Ebenezer Place
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Gresham Place
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - O'Connell Street Laneway
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Peel Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Rundle Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Solomon Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Tavistock Lane
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Vardon Avenue
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Vaughan Place
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Victoria Sqaure - Across Lawn
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Victoria Square Arbour - East
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Linear Lighting,Catenary Festoon Lighting - Victoria Square Arbour - West
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Luminaire,Catenary Downlight - Gouger Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Luminaire,Catenary Downlight - Rundle Mall
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Pole,Catenary Pole - Gouger Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Pole,Catenary Pole - Rundle Mall
Lighting,Lighting and Electrical,Decorative Lighting,Catenary Pole,Catenary Pole - Solomon Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Ebenezer Place
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Gouger Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Gresham Place
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - O'Connell Street Laneway
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Peel Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Rundle Mall
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Rundle Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Solomon Street
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Tavistock Lane
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Vardon Avenue
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Vaughan Place
Lighting,Lighting and Electrical,Decorative Lighting,Catenary System,Catenary System - Victoria Square - Across Lawn
Lighting,Lighting and Electrical,Decorative Lighting,Luminaire,Tree Bud Light
Lighting,Lighting and Electrical,Distribution,Electrical Conduit,Consumer Main
Lighting,Lighting and Electrical,Distribution,Electrical Conduit,Electrical - Orange
Lighting,Lighting and Electrical,Distribution,Lighting Control,C-Bus System - Large
Lighting,Lighting and Electrical,Distribution,Lighting Control,C-Bus System - Small
Lighting,Lighting and Electrical,Distribution,Lighting Control,Lighting Panel
Lighting,Lighting and Electrical,Public Lighting,Light Pole,10.4m Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,10.5m Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,12m Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,18m Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,6.5m Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,7.0m Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,9.0m Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,9.0m HESS Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Adelaide Bridge Fixing
Lighting,Lighting and Electrical,Public Lighting,Light Pole,AdePole 10.5m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,AdePole Short
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Architectural Lighting Pole - 5.3m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Architectural Lighting Pole - 9.0m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Basic Lighting
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Bollard
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Bridge
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Bud Lighting
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Catenary Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Ceremonial
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Combination Traffic Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Floodlight Pole
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Floodlight Tower - 12m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Floodlight Tower - 18m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Floodlight Tower - 32m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,FPM15F
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Heritage
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Heritage Style Post Top Pole
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Heritage Style Street Lighting Pole
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Modullum Column
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Park Street
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Post Top Lantern
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Post Top Pole - City Streets
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Post Top Pole - Park Lands
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Smart Pole
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Stepped Post Top
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Stepped Post Top Pole - Adepole 5.0m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Stepped Post Top Pole - City Streets
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Stepped Post Top Pole - Park Lands
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Street Light Pole - 10.5m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Street Light Pole - 4.5m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Street Light Pole - 6.5m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Street Light Pole - 9.5m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Street Light Pole - Adepole - 10.5m
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Street Light Pole - Dual Outreach
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Street Light Pole - Dual Outreach - Heritage Style
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Street Light Pole - Jeffcott Catenary Style
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Street Light Pole - Solar
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Tapered
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Torrens Weir Fixing
Lighting,Lighting and Electrical,Public Lighting,Light Pole,Unidentified
Lighting,Lighting and Electrical,Public Lighting,Light Pole Bracket,Street Light Bracket  - 3m Outreach (Tram Corridor)
Lighting,Lighting and Electrical,Public Lighting,Linear Lighting,Festoon Light
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Architectural Street Light
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Back of Pole Light - Pendant
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Back of Pole Light - Street Light
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Back of Pole Light - Street Light - Prestige
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Back of Pole Light - Traffic
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Bracket Only
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Bud Lighting
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Catenary Lights
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Directional
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Downlight
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Floodlight
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Floodlight - Adelaide Bridge
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Floodlight - Church
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Floodlight - Directional
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Floodlight - Sports Field
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Fluorescent
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Heritage Style Post Top Light
Lighting,Lighting and Electrical,Public Lighting,Luminaire,High Pressure Sodium
Lighting,Lighting and Electrical,Public Lighting,Luminaire,LED
Lighting,Lighting and Electrical,Public Lighting,Luminaire,LED Strip
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Light Bollard
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Low Pressure Sodium
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Mercury Vapour
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Metal Halide
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Pendant
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Post Top Light - City Streets
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Post Top Light - Park Lands
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Post Top Light - Pendant
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Post Top Light - Wall Mounted
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Primary Luminaire
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Projector
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Spot Light
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Street Light
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Street Light - Pendant
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Street Light - PLC Light on SAPN Pole
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Street Light - Prestige
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Street Light - Solar
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Street Light - Traffic
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Street Light - Wall Mounted
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Unidentified
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Uplight
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Wall Light
Lighting,Lighting and Electrical,Public Lighting,Luminaire,Wall Light - Adelaide Bridge
Marine Structures,Urban Elements,Structure,Marine Structures,Boat Landing
Marine Structures,Urban Elements,Structure,Marine Structures,Boat Ramp
Open Drains and Rain Gardens,Water Infrastructure,Stormwater Network Structure,Creek,Creek
Open Drains and Rain Gardens,Water Infrastructure,Stormwater Network Structure,Earth Retaining Structure,Energy Dissipation
Open Drains and Rain Gardens,Water Infrastructure,Stormwater Network Structure,Earth Retaining Structure,Erosion Protection
Open Drains and Rain Gardens,Water Infrastructure,Stormwater Network Structure,Links,Rock Rip-Rap
Open Drains and Rain Gardens,Water Infrastructure,Stormwater Network Structure,Links,Rock Rip-Rap with Geofabric
Open Drains and Rain Gardens,Water Infrastructure,Stormwater Network Structure,Open Channels,Open Channels
Open Drains and Rain Gardens,Water Infrastructure,Stormwater Network Structure,Swale,Swale
Open Space Furniture,Urban Elements,Arts and Culture,Artwork,Public Arts
Open Space Furniture,Urban Elements,Furniture,BBQ,Mains BBQ
Open Space Furniture,Urban Elements,Furniture,Bike Rack,Art Rack
Open Space Furniture,Urban Elements,Furniture,Bike Rack,Bike Repair Station
Open Space Furniture,Urban Elements,Furniture,Bike Rack,Circular
Open Space Furniture,Urban Elements,Furniture,Bike Rack,Steel Rail
Open Space Furniture,Urban Elements,Furniture,Bike Rack,Steel Slot
Open Space Furniture,Urban Elements,Furniture,Bike Rack,Tyre Pump
Open Space Furniture,Urban Elements,Furniture,Bike Rack,U Shape
Open Space Furniture,Urban Elements,Furniture,Bollard,Adelaide Suite Style
Open Space Furniture,Urban Elements,Furniture,Bollard,Concrete Cylindrical
Open Space Furniture,Urban Elements,Furniture,Bollard,Energy Absorbing
Open Space Furniture,Urban Elements,Furniture,Bollard,Heritage Style Acorn
Open Space Furniture,Urban Elements,Furniture,Bollard,Nonremovable
Open Space Furniture,Urban Elements,Furniture,Bollard,Plain Tubular Steel
Open Space Furniture,Urban Elements,Furniture,Bollard,Removable
Open Space Furniture,Urban Elements,Furniture,Bollard,Retractable
Open Space Furniture,Urban Elements,Furniture,Bollard,Steel With Fluted Top
Open Space Furniture,Urban Elements,Furniture,Drinking Fountain,Curved
Open Space Furniture,Urban Elements,Furniture,Drinking Fountain,Memorial
Open Space Furniture,Urban Elements,Furniture,Drinking Fountain,Post
Open Space Furniture,Urban Elements,Furniture,Drinking Fountain,Refill
Open Space Furniture,Urban Elements,Furniture,Picnic Table,Bench
Open Space Furniture,Urban Elements,Furniture,Picnic Table,Flat Top
Open Space Furniture,Urban Elements,Furniture,Planter Box,Concrete
Open Space Furniture,Urban Elements,Furniture,Planter Box,Concrete and Mosaic
Open Space Furniture,Urban Elements,Furniture,Planter Box,Large (>1500mm x 2000mm)
Open Space Furniture,Urban Elements,Furniture,Planter Box,Medium (<=1500mm x 2000mm)
Open Space Furniture,Urban Elements,Furniture,Planter Box,Sandstone
Open Space Furniture,Urban Elements,Furniture,Planter Box,Small (<=1000mm x 1500mm)
Open Space Furniture,Urban Elements,Furniture,Planter Box,Steel
Open Space Furniture,Urban Elements,Furniture,Planter Box,Timber
Open Space Furniture,Urban Elements,Furniture,Planter Box,Timber and Steel
Open Space Furniture,Urban Elements,Furniture,Planter Box,Zinc
Open Space Furniture,Urban Elements,Furniture,Seat,Border
Open Space Furniture,Urban Elements,Furniture,Seat,Fixed
Open Space Furniture,Urban Elements,Furniture,Seat,Free Standing
Open Space Furniture,Urban Elements,Parking,Parking Machine,MetroLite
Open Space Furniture,Urban Elements,Sign,Wayfinding Strategy Sign,Interpretive Large Sign
Open Space Furniture,Urban Elements,Structure,Flag Pole,Official
Open Space Furniture,Urban Elements,Waste,Bin,Enclosure
Open Space Furniture,Urban Elements,Waste,Bin,Standard Litter Bin
Open Space Services,Maintenance,Cleansing Asset,Cleansing Asset,General Cleansing Asset
Open Space Services,Maintenance,Cleansing Asset,Cleansing Asset,Monument
Open Space Services,Maintenance,Cleansing Asset,Cleansing Asset,Private Building
Open Space Services,Maintenance,Cleansing Asset,Cleansing Asset,Statue
Open Space Services,Maintenance,Inspection Zones,Rapid Response,Rapid Response
Open Space Services,Water Infrastructure,Sewer Infrastructure,Nodes,Wash Down Tap
Other Structures,Urban Elements,Other Structures,Other Structures,Arbour Structure
Other Structures,Urban Elements,Other Structures,Other Structures,Basketball Backboard
Other Structures,Urban Elements,Other Structures,Other Structures,Canopy
Other Structures,Urban Elements,Other Structures,Other Structures,Handrail
Other Structures,Urban Elements,Other Structures,Other Structures,Horse Trough
Other Structures,Urban Elements,Other Structures,Other Structures,Miscellaneous
Other Structures,Urban Elements,Other Structures,Other Structures,Pergola
Other Structures,Urban Elements,Other Structures,Other Structures,Platform
Other Structures,Urban Elements,Other Structures,Other Structures,Rotunda
Other Structures,Urban Elements,Other Structures,Other Structures,Shade Sail
Other Structures,Urban Elements,Other Structures,Other Structures,Shelter
Other Structures,Urban Elements,Other Structures,Other Structures,Skate Rink
Other Structures,Urban Elements,Other Structures,Other Structures,Soccer Goals
Other Structures,Urban Elements,Other Structures,Other Structures,Tennis Net and Posts
Other Structures,Urban Elements,Structure,Other Structures,Arbour Structure
Park Active Areas,Park Lands and Open Space,Open Space Area,Sportsfield and Area,General Sports Field
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Basketball Court,Basketball Court - Acrylic Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Basketball Court,Basketball Court - Asphalt Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,BMX Track,BMX Track - Beginner
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Chess Set,Chess Set - Concrete
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Cricket Pitch,Cricket Pitch - Concrete
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Golf Greens,Golf Greens - Turf Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Multipurpose Court,Multipurpose Court - Acrylic Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Multipurpose Court,Multipurpose Court - Asphalt Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Netball Court,Netball Court - Acrylic Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Petanque,Petanque - Gravel Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Skatepark,Skatepark - Concrete Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Sports Equipment,Basketball Ring
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Sports Equipment,Football Goal Posts
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Sports Equipment,Netball Ring
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Sports Equipment,Skatepark Equipment
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Sports Equipment,Soccer Goals
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Sports Equipment,Tennis Net
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Sportsfield and Area,BMX Track
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Sportsfield and Area,Skate Park
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Tennis Court,Tennis Court - Acrylic Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Tennis Court,Tennis Court - Synthetic Turf Surface
Park Active Areas,Park Lands and Open Space,Sportsfields & Active Areas,Tennis Court,Tennis Court - Turf Surface
Park Active Areas,Urban Elements,Recreational,Cricket Pitch,Cricket Pitch - Concrete
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Archery Field
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Athletic Track
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Basketball Court
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Bowls Lawn
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Cricket Net
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Cricket Pitch
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Croquet Field
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Fitness Station
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,General Sports Field
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Golf Net
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Hockey Field
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Netball Court
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Petanque Piste
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Soccer Pitch
Park Active Areas,Urban Elements,Recreational,Sportsfield and Area,Tennis Court
Park Passive Areas,,,Garden Bed,Native
Park Passive Areas,Maintenance,City Wide Activities,City Wide Activities,City Wide Activities - Park
Park Passive Areas,Maintenance,City Wide Activities,City Wide Activities,City Wide Activities - Street
Park Passive Areas,Maintenance,Horticulture,Biodiversity Area,Buffer Conservation Zone
Park Passive Areas,Maintenance,Horticulture,Biodiversity Area,Butterfly Conservation Zone
Park Passive Areas,Maintenance,Horticulture,Biodiversity Area,Informal Recreation Zone
Park Passive Areas,Maintenance,Horticulture,Biodiversity Area,Protected Conservation Zone
Park Passive Areas,Maintenance,Horticulture,Biodiversity Area,Remnant Conservation Zone
Park Passive Areas,Maintenance,Horticulture,Biodiversity Area,Revegetation Conservation Zone
Park Passive Areas,Maintenance,Horticulture,Park,Park
Park Passive Areas,Maintenance,Horticulture,Park,Sub-Park Region
Park Passive Areas,Maintenance,Horticulture,Spray Zone,Spray Zone
Park Passive Areas,Park Lands and Open Space,Open Space Area,Garden Bed,Annuals
Park Passive Areas,Park Lands and Open Space,Open Space Area,Garden Bed,Community
Park Passive Areas,Park Lands and Open Space,Open Space Area,Garden Bed,Hedge
Park Passive Areas,Park Lands and Open Space,Open Space Area,Garden Bed,Native
Park Passive Areas,Park Lands and Open Space,Open Space Area,Garden Bed,Perennials
Park Passive Areas,Park Lands and Open Space,Open Space Area,Garden Bed,Roses
Park Passive Areas,Park Lands and Open Space,Open Space Area,Grassed Area,Irrigated Turf
Park Passive Areas,Park Lands and Open Space,Open Space Area,Stratacell,Stratacell
Park Passive Areas,Park Lands and Open Space,Open Space Area,Stratacell,Stratavault
Park Passive Areas,Park Lands and Open Space,Open Space Area,Streetscape,Medians
Park Passive Areas,Park Lands and Open Space,Open Space Area,Streetscape,Nature Strips
Park Passive Areas,Park Lands and Open Space,Open Space Area,Streetscape,Planted Road Verge
Park Passive Areas,Park Lands and Open Space,Open Space Area,Streetscape,Planted Verges
Park Passive Areas,Park Lands and Open Space,Open Space Area,Streetscape,Planter Box
Park Passive Areas,Park Lands and Open Space,Open Space Area,Streetscape,Roundabout
Park Passive Areas,Park Lands and Open Space,Open Space Area,Streetscape,Verges
Park Passive Areas,Park Lands and Open Space,Water Feature,Water Feature,Ornamental Stream
Park Passive Areas,Park Lands and Open Space,Water Feature,Water Feature,Rock Pool
Park Passive Areas,Park Lands and Open Space,Water Feature,Water Feature,Water Feature
Park Passive Areas,Park Lands and Open Space,Water Feature,Water Feature,Water Play
Pathways,Transportation,Pathway,Access Ramp,Double
Pathways,Transportation,Pathway,Access Ramp,Single
Pathways,Transportation,Pathway,Park Lands,Accessible Ramp
Pathways,Transportation,Pathway,Park Lands,Informal Path
Pathways,Transportation,Pathway,Park Lands,Pedestrian
Pathways,Transportation,Pathway,Park Lands,Shared Use Path
Pathways,Transportation,Pathway,Park Lands,Stairs
Pathways,Transportation,Pathway,Road Reserve,CycleWay
Pathways,Transportation,Pathway,Road Reserve,Pedestrian
Pathways,Transportation,Pathway,Road Reserve,Shared Use Path
Pathways,Transportation,Pathway,Road Reserve,Stairs
Pathways,Transportation,Road,Park Lands,Pedestrian
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Art
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Carousels
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Climber
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Fitness Station
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Furniture
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,General
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Jnr Balance Rope
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Jnr Climber Poles
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Jnr Rope Unit
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Jnr See Saw
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Jnr Spring Rocker
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Jnr Step Poles
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Multipurpose
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Rocking Equipment
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Slides
Play Equipment,Park Lands and Open Space,Recreational,Playground Equipment,Spatial Networks
