Asset_Category,Asset_Class,Asset_Subclass,Asset_Type,Asset_Subtype
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Electrical - Orange
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Electrical - Orange Spare
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Galvanised Pipe
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Gas Duct 50mm Diameter
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Gas Lantern
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,High Pressure Sodium- 400Watt
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Metal Halide 100 Watt Spec
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Metal Halide 250 Watt Spec
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,MIMS Wiring on Structure
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Public Lighting Underground Duct
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,TBD
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Unknown
Electrical Conduits,Lighting and Electrical,Distribution,Electrical Conduit,Wiring
Electrical Conduits,Lighting and Electrical,Distribution,Optical Fibre,96 Core
Electrical Conduits,Transportation,Traffic Signals,SCATS Infrastructure - Cable Conduit,Conduit - 100mm
Electrical Conduits,Transportation,Traffic Signals,SCATS Infrastructure - Cable Conduit,Copper Cable - 20 Pair
Electrical Conduits,Transportation,Traffic Signals,SCATS Infrastructure - Cable Conduit,Copper Cable - 50 Pair
Electrical Conduits,Transportation,Traffic Signals,Traffic Signal Cables and Conduits,Cables and Conduits - Footpaths 29 core
Electrical Conduits,Transportation,Traffic Signals,Traffic Signal Cables and Conduits,Cables and Conduits - Roads 63 core
Electrical Conduits,Transportation,Traffic Signals,Traffic Signal Cables and Conduits,Cables and Conduits - Tramline 63 Core
Fences,Urban Elements,Furniture,Fence,Barrier Fencing
Fences,Urban Elements,Furniture,Fence,Bollard Fence Unlinked
Fences,Urban Elements,Structure,Fence,Barrier Fencing
Fences,Urban Elements,Structure,Fence,Bollard Fence Linked
Fences,Urban Elements,Structure,Fence,Bollard Fence Unlinked
Fences,Urban Elements,Structure,Fence,Handrail
Fences,Urban Elements,Structure,Fence,Safety Fencing
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Artefact
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Building
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Clock
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Ephemera
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Fountain
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Furniture
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Garment
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Gold/Silver
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Map
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Marquette
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Medal(s)
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Medals
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Memorial
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Miscellaneous
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Monograph
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Painting
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Plaque
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Portrait
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Print
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Sculpture
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Statue
"Fleet, Plant and Equipment",Civic Collection,Civic Collection,Archives,Window
